Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1533762000.0 1004.0 NA 220 93 0 0 0 0 NA 358 153 0 0 0 0 NA 1008 396 70 126 262 289 NA 1557 583 170 381 337 351
1533762000.0 1010.0 NA 32 42 0 NA NA NA NA 83 92 0 NA NA NA NA 120 251 144 NA NA NA NA 331 695 360 NA NA NA
1533762000.0 102.0 100 NA NA NA NA NA NA 160 NA NA NA NA NA NA 888 NA NA NA NA NA NA 1127 NA NA NA NA NA NA
1533762000.0 1020.0 NA 74 25 0 75 NA NA NA 143 67 0 150 NA NA NA 274 109 63 266 NA NA NA 665 483 168 649 NA NA
1533762000.0 1040.1 NA 80 35 0 NA NA NA NA 140 76 0 NA NA NA NA 455 120 115 NA NA NA NA 710 198 191 NA NA NA
1533762000.0 106.0 46 0 0 NA NA NA NA 100 0 0 NA NA NA NA 892 349 1755 NA NA NA NA 667 498 2794 NA NA NA NA
1533762000.0 122.0 47 0 0 NA NA NA NA 104 0 0 NA NA NA NA 916 363 1927 NA NA NA NA 794 437 2344 NA NA NA NA
1533762000.0 1325.5 NA 163 0 NA NA NA NA NA 259 0 NA NA NA NA NA 5460 137 NA NA NA NA NA 6284 256 NA NA NA NA
1533762000.0 1325.51 NA 152 0 NA NA NA NA NA 235 0 NA NA NA NA NA 2050 152 NA NA NA NA NA 3368 309 NA NA NA NA
1533762000.0 1325.7 NA 158 0 NA NA NA NA NA 278 0 NA NA NA NA NA 3468 140 NA NA NA NA NA 5932 219 NA NA NA NA
1533762000.0 135.2 258 0 123 NA NA NA NA 693 0 196 NA NA NA NA 1158 290 940 NA NA NA NA 1718 705 1247 NA NA NA NA
1533762000.0 135.3 259 0 124 NA NA NA NA 691 0 199 NA NA NA NA 1185 277 925 NA NA NA NA 2112 586 1201 NA NA NA NA
1533762000.0 135.8 146 NA NA NA NA NA NA 256 NA NA NA NA NA NA 511 NA NA NA NA NA NA 1182 NA NA NA NA NA NA
1533762000.0 136.733 NA 170 63 0 NA NA NA NA 295 125 0 NA NA NA NA 1169 418 452 NA NA NA NA 1473 1268 1072 NA NA NA
1533762000.0 136.74 NA 94 405 0 NA NA NA NA 160 601 0 NA NA NA NA 605 13382 799 NA NA NA NA 868 5278 861 NA NA NA
1533762000.0 136.755 NA 95 383 0 NA NA NA NA 159 624 0 NA NA NA NA 590 14096 820 NA NA NA NA 809 5440 867 NA NA NA
1533762000.0 136.76 NA 94 388 0 NA NA NA NA 159 568 0 NA NA NA NA 683 18338 923 NA NA NA NA 813 6822 1332 NA NA NA
