Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1533848400.0 1001.0 NA 242 112 0 0 0 0 0 0 NA 374 167 0 0 0 0 0 0 NA 2568 636 93 73 134 321 149 302 NA 3707 1336 246 155 191 532 275 406
1533848400.0 1001.2 NA 366 135 0 NA NA NA NA NA NA 591 211 0 NA NA NA NA NA NA 14654 1835 130 NA NA NA NA NA NA 5616 1663 197 NA NA NA NA NA
1533848400.0 1002.0 NA 288 79 NA NA NA NA NA NA NA 437 131 NA NA NA NA NA NA NA 3178 425 NA NA NA NA NA NA NA 2376 396 NA NA NA NA NA NA
1533848400.0 10023.0 NA 167 309 0 69 NA NA NA NA NA 600 541 0 128 NA NA NA NA NA 901 2452 1552 375 NA NA NA NA NA 650 2936 1735 1103 NA NA NA NA
1533848400.0 10025.0 NA 180 355 0 74 NA NA NA NA NA 598 544 0 124 NA NA NA NA NA 808 2618 1560 351 NA NA NA NA NA 536 2785 1694 561 NA NA NA NA
1533848400.0 10026.0 NA 193 349 0 76 NA NA NA NA NA 600 563 0 124 NA NA NA NA NA 971 3308 1588 342 NA NA NA NA NA 678 3432 1713 607 NA NA NA NA
1533848400.0 1004.0 NA 213 99 0 0 0 0 NA NA NA 346 146 0 0 0 0 NA NA NA 1089 372 74 118 331 276 NA NA NA 2608 876 214 372 550 476 NA NA
1533848400.0 10059.0 NA 171 271 0 73 NA NA NA NA NA 599 559 0 129 NA NA NA NA NA 1201 3531 1824 296 NA NA NA NA NA 997 3209 2194 493 NA NA NA NA
1533848400.0 101.0 97 NA NA NA NA NA NA NA NA 160 NA NA NA NA NA NA NA NA 812 NA NA NA NA NA NA NA NA 1042 NA NA NA NA NA NA NA NA
1533848400.0 1010.0 NA 30 39 0 NA NA NA NA NA NA 82 92 0 NA NA NA NA NA NA 119 174 127 NA NA NA NA NA NA 349 434 200 NA NA NA NA NA
1533848400.0 102.0 96 NA NA NA NA NA NA NA NA 160 NA NA NA NA NA NA NA NA 711 NA NA NA NA NA NA NA NA 1354 NA NA NA NA NA NA NA NA
1533848400.0 1020.0 NA 68 24 0 70 NA NA NA NA NA 140 68 0 140 NA NA NA NA NA 263 101 73 256 NA NA NA NA NA 631 344 352 573 NA NA NA NA
1533848400.0 103.0 71 98 263 NA NA NA NA NA NA 154 578 405 NA NA NA NA NA NA 1282 338 1904 NA NA NA NA NA NA 1238 694 2553 NA NA NA NA NA NA
1533848400.0 1040.1 NA 79 24 0 NA NA NA NA NA NA 143 76 0 NA NA NA NA NA NA 428 124 141 NA NA NA NA NA NA 709 332 1245 NA NA NA NA NA
