Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1533420000.0 101.0 91 NA NA NA NA 161 NA NA NA NA 851 NA NA NA NA 1525 NA NA NA NA
1533420000.0 102.0 94 NA NA NA NA 161 NA NA NA NA 754 NA NA NA NA 1630 NA NA NA NA
1533420000.0 1020.0 NA 83 31 0 81 NA 145 71 0 147 NA 291 125 92 315 NA 517 376 261 1160
1533420000.0 106.0 49 0 0 NA NA 107 0 0 NA NA 853 290 1537 NA NA 1001 377 2469 NA NA
1533420000.0 111.0 96 106 268 NA NA 185 586 405 NA NA 1154 377 1827 NA NA 1221 502 3200 NA NA
1533420000.0 122.0 50 0 0 NA NA 107 0 0 NA NA 1125 357 2405 NA NA 1169 499 4581 NA NA
1533420000.0 13.0 NA 115 273 0 NA NA 593 417 0 NA NA 460 2283 568 NA NA 917 3242 1217 NA
1533420000.0 1325.5 NA 176 0 NA NA NA 277 0 NA NA NA 4700 126 NA NA NA 5483 508 NA NA
1533420000.0 1325.7 NA 167 0 NA NA NA 262 0 NA NA NA 4109 130 NA NA NA 5541 307 NA NA
1533420000.0 134.813 NA 185 70 0 NA NA 280 114 0 NA NA 1178 362 594 NA NA 1252 711 1020 NA
1533420000.0 135.8 183 NA NA NA NA 263 NA NA NA NA 436 NA NA NA NA 630 NA NA NA NA
1533420000.0 136.736 NA 95 362 0 NA NA 164 533 0 NA NA 536 10661 731 NA NA 716 5263 1009 NA
1533420000.0 136.737 NA 95 374 0 NA NA 152 567 0 NA NA 533 11788 778 NA NA 582 6132 2134 NA
1533420000.0 136.744 NA 94 452 0 NA NA 161 623 0 NA NA 591 11759 742 NA NA 732 4813 867 NA
1533420000.0 136.751 NA 97 401 0 NA NA 158 618 0 NA NA 565 14050 750 NA NA 1081 6469 1682 NA
1533420000.0 136.753 NA 93 378 0 NA NA 162 548 0 NA NA 552 11371 927 NA NA 786 4668 1770 NA
1533420000.0 136.76 NA 98 382 0 NA NA 156 553 0 NA NA 638 16403 809 NA NA 1081 7889 1895 NA
1533420000.0 136.7611 NA 177 0 NA NA NA 284 0 NA NA NA 7437 203 NA NA NA 9466 665 NA NA
1533420000.0 136.7721 NA 169 0 NA NA NA 273 0 NA NA NA 6763 158 NA NA NA 9249 290 NA NA
1533420000.0 136.7801 NA 101 0 NA NA NA 175 0 NA NA NA 488 266 NA NA NA 971 1509 NA NA
1533420000.0 136.7803 NA 99 0 NA NA NA 183 0 NA NA NA 919 218 NA NA NA 1538 1096 NA NA
1533420000.0 136.815 NA 113 335 0 NA NA 192 499 0 NA NA 796 5078 1959 NA NA 846 5817 2864 NA
1533420000.0 136.824 NA 110 446 0 NA NA 179 745 0 NA NA 789 38731 1939 NA NA 1093 18381 2062 NA
1533420000.0 136.827 NA 113 336 0 NA NA 186 499 0 NA NA 762 5159 2021 NA NA 804 5184 2927 NA
1533420000.0 136.8311 NA 169 0 NA NA NA 280 0 NA NA NA 3994 265 NA NA NA 4804 480 NA NA
1533420000.0 136.832 NA 111 467 0 NA NA 188 779 0 NA NA 883 41055 2425 NA NA 1099 18688 3338 NA
1533420000.0 136.833 NA 111 434 0 NA NA 185 698 0 NA NA 899 35067 2454 NA NA 1099 18447 3034 NA
1533420000.0 136.839 NA 118 341 0 NA NA 201 534 0 NA NA 753 5221 1986 NA NA 832 5269 2764 NA
1533420000.0 136.842 NA 110 441 0 NA NA 191 709 0 NA NA 817 36475 2206 NA NA 1054 13981 2463 NA
1533420000.0 136.843 NA 108 437 0 NA NA 187 748 0 NA NA 842 41962 2362 NA NA 1099 19149 3188 NA
1533420000.0 136.848 NA 111 422 0 NA NA 195 701 0 NA NA 1018 35863 1993 NA NA 1099 17545 2122 NA
1533420000.0 136.8521 NA 161 0 NA NA NA 280 0 NA NA NA 3274 257 NA NA NA 4176 472 NA NA
1533420000.0 136.8561 NA 242 360 0 NA NA 369 526 0 NA NA 2333 5246 1969 NA NA 2789 6830 2736 NA
1533420000.0 136.8562 NA 225 341 0 NA NA 362 502 0 NA NA 2215 4695 2027 NA NA 2716 5386 2954 NA
1533420000.0 136.858 NA 236 354 0 NA NA 365 512 0 NA NA 2921 5854 2328 NA NA 3024 5614 2572 NA
1533420000.0 136.864 NA 253 467 0 NA NA 389 756 0 NA NA 5686 36622 2555 NA NA 5167 17542 2787 NA
1533420000.0 136.87 NA 231 360 0 NA NA 359 506 0 NA NA 3017 6279 2597 NA NA 2917 7623 3625 NA
1533420000.0 136.871 NA 257 461 0 NA NA 425 752 0 NA NA 6647 40348 2971 NA NA 5407 18118 4100 NA
1533420000.0 140.51 NA 54 214 0 NA NA 138 341 0 NA NA 999 2624 587 NA NA 1011 1672 970 NA
1533420000.0 140.52 NA 258 220 0 NA NA 376 340 0 NA NA 3123 2356 558 NA NA 2043 1388 829 NA
1533420000.0 140.53 NA 324 0 NA NA NA 450 0 NA NA NA 4699 651 NA NA NA 2468 805 NA NA
1533420000.0 140.54 NA 237 0 NA NA NA 419 0 NA NA NA 1926 719 NA NA NA 1733 1193 NA NA
1533420000.0 144.6 NA 279 NA NA NA NA 389 NA NA NA NA 4474 NA NA NA NA 3799 NA NA NA
1533420000.0 149.0 63 134 337 0 NA 124 592 544 0 NA 3652 1201 3324 2126 NA 2648 1113 5018 3002 NA
1533420000.0 150.0 73 145 230 0 NA 126 557 425 0 NA 4856 588 1713 746 NA 6575 536 2197 1097 NA
1533420000.0 150.1 NA 152 227 0 NA NA 610 403 0 NA NA 881 1717 740 NA NA 540 1849 1137 NA
1533420000.0 150.2 NA 149 225 0 NA NA 609 395 0 NA NA 932 1648 754 NA NA 826 1961 1198 NA
1533420000.0 150.3 NA 157 232 0 NA NA 563 417 0 NA NA 881 1538 810 NA NA 665 1537 1150 NA
1533420000.0 158.0 73 136 353 0 NA 124 592 513 0 NA 7399 1261 3043 2240 NA 5012 1075 3198 3173 NA
1533420000.0 200.0 NA 168 354 0 NA NA 605 510 0 NA NA 1445 3670 1039 NA NA 1513 3472 1598 NA
1533420000.0 2017.8 161 NA NA NA NA 277 NA NA NA NA 688 NA NA NA NA 1116 NA NA NA NA
1533420000.0 202.0 NA 176 358 0 NA NA 560 498 0 NA NA 1595 4291 1012 NA NA 1545 4580 1189 NA
1533420000.0 203.0 NA 181 331 0 NA NA 558 493 0 NA NA 1335 4379 988 NA NA 1521 4902 1272 NA
1533420000.0 205.0 NA 186 332 0 NA NA 604 526 0 NA NA 1598 4358 832 NA NA 1475 4828 908 NA
1533420000.0 25406.0 481 0 135 NA NA 730 0 216 NA NA 2252 296 945 NA NA 2987 777 1399 NA NA
1533420000.0 300.0 69 182 267 0 NA 147 638 486 0 NA 2029 1476 1918 780 NA 2070 1110 2031 1259 NA
1533420000.0 301.0 75 178 270 0 NA 147 580 460 0 NA 2472 1034 1879 738 NA 2242 1128 1947 1089 NA
1533420000.0 302.0 66 166 280 0 NA 150 579 434 0 NA 1960 1140 1320 714 NA 2305 1407 1345 1040 NA
1533420000.0 4008.0 65 133 290 NA NA 134 603 435 NA NA 1476 869 2688 NA NA 1462 830 3524 NA NA
1533420000.0 503.0 38 0 NA NA NA 87 0 NA NA NA 400 273 NA NA NA 564 584 NA NA NA
1533420000.0 504.0 40 0 NA NA NA 88 0 NA NA NA 393 293 NA NA NA 703 624 NA NA NA
1533420000.0 505.0 37 0 NA NA NA 88 0 NA NA NA 430 237 NA NA NA 784 523 NA NA NA
1533420000.0 506.0 40 0 NA NA NA 86 0 NA NA NA 392 250 NA NA NA 733 556 NA NA NA
1533420000.0 507.0 37 0 NA NA NA 87 0 NA NA NA 437 274 NA NA NA 707 596 NA NA NA
1533420000.0 508.0 44 0 NA NA NA 86 0 NA NA NA 267 275 NA NA NA 495 585 NA NA NA
1533420000.0 509.0 41 0 NA NA NA 86 0 NA NA NA 356 234 NA NA NA 685 509 NA NA NA
1533420000.0 510.0 39 0 NA NA NA 86 0 NA NA NA 401 281 NA NA NA 642 644 NA NA NA
1533420000.0 511.0 43 0 NA NA NA 93 0 NA NA NA 21427 234 NA NA NA 30539 433 NA NA NA
1533420000.0 512.0 21 36 0 NA NA 67 91 0 NA NA 2725 361 247 NA NA 15213 606 407 NA NA
1533420000.0 513.0 21 38 0 NA NA 67 94 0 NA NA 809 376 232 NA NA 2294 614 499 NA NA
1533420000.0 514.0 20 41 0 NA NA 67 93 0 NA NA 552 337 254 NA NA 1348 609 535 NA NA
1533420000.0 515.0 21 38 0 NA NA 68 92 0 NA NA 2645 351 237 NA NA 13348 622 437 NA NA
1533420000.0 516.0 22 42 0 NA NA 68 94 0 NA NA 819 340 272 NA NA 2318 585 579 NA NA
1533420000.0 517.0 20 45 0 NA NA 67 93 0 NA NA 6244 299 228 NA NA 9835 661 537 NA NA
1533420000.0 518.0 22 38 0 NA NA 68 93 0 NA NA 2661 376 244 NA NA 13629 587 417 NA NA
1533420000.0 519.0 19 40 0 NA NA 67 93 0 NA NA 831 297 266 NA NA 2501 578 570 NA NA
1533420000.0 520.0 19 43 0 NA NA 67 94 0 NA NA 6250 318 238 NA NA 9810 681 549 NA NA
1533420000.0 521.0 21 41 0 NA NA 68 93 0 NA NA 881 322 236 NA NA 2839 569 501 NA NA
1533420000.0 522.0 21 39 0 NA NA 67 93 0 NA NA 2657 394 232 NA NA 13926 617 405 NA NA
1533420000.0 524.0 21 39 0 NA NA 67 94 0 NA NA 6254 338 232 NA NA 9401 588 418 NA NA
1533420000.0 525.0 21 47 0 NA NA 71 93 0 NA NA 822 249 167 NA NA 4610 903 709 NA NA
1533420000.0 527.0 20 38 0 NA NA 67 93 0 NA NA 6115 243 134 NA NA 10470 1195 263 NA NA
1533420000.0 529.0 21 37 0 NA NA 67 91 0 NA NA 2774 208 166 NA NA 18121 472 512 NA NA
1533420000.0 530.0 22 46 0 NA NA 68 93 0 NA NA 5976 226 174 NA NA 8965 503 737 NA NA
1533420000.0 534.0 43 0 NA NA NA 104 0 NA NA NA 291 173 NA NA NA 536 1131 NA NA NA
1533420000.0 541.0 49 0 NA NA NA 101 0 NA NA NA 221 197 NA NA NA 475 1345 NA NA NA
1533420000.0 545.0 46 0 NA NA NA 97 0 NA NA NA 260 167 NA NA NA 480 850 NA NA NA
1533420000.0 552.0 20 43 0 NA NA 67 93 0 NA NA 5719 240 142 NA NA 8721 882 284 NA NA
1533420000.0 554.0 19 40 0 NA NA 67 94 0 NA NA 4714 259 155 NA NA 9426 1206 471 NA NA
1533420000.0 556.0 21 42 0 NA NA 68 94 0 NA NA 444 259 167 NA NA 950 799 682 NA NA
1533420000.0 560.0 45 0 NA NA NA 88 0 NA NA NA 217 164 NA NA NA 411 491 NA NA NA
1533420000.0 561.0 45 0 NA NA NA 86 0 NA NA NA 222 170 NA NA NA 425 1245 NA NA NA
