Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1533805200.0 101.0 91 NA NA NA NA 161 NA NA NA NA 780 NA NA NA NA 1395 NA NA NA NA
1533805200.0 1010.0 NA 27 39 0 NA NA 91 99 0 NA NA 111 160 113 NA NA 639 414 239 NA
1533805200.0 102.0 87 NA NA NA NA 161 NA NA NA NA 667 NA NA NA NA 1069 NA NA NA NA
1533805200.0 1020.0 NA 73 34 0 80 NA 146 72 0 152 NA 217 93 68 242 NA 1195 524 419 810
1533805200.0 103.0 69 103 266 NA NA 155 584 396 NA NA 1284 285 1437 NA NA 1446 557 1800 NA NA
1533805200.0 1040.1 NA 85 30 0 NA NA 142 76 0 NA NA 458 120 179 NA NA 593 663 517 NA
1533805200.0 106.0 50 0 0 NA NA 105 0 0 NA NA 761 216 1252 NA NA 553 663 2483 NA NA
1533805200.0 111.0 86 115 268 NA NA 187 586 393 NA NA 1742 372 1449 NA NA 1470 613 1870 NA NA
1533805200.0 122.0 50 0 0 NA NA 105 0 0 NA NA 1001 261 1674 NA NA 1070 481 2758 NA NA
1533805200.0 1325.1 NA 144 171 0 NA NA 566 259 0 NA NA 920 1228 494 NA NA 702 1518 734 NA
1533805200.0 1325.2 NA 152 341 0 NA NA 565 486 0 NA NA 693 3403 1188 NA NA 495 3599 1576 NA
1533805200.0 1325.3 NA 144 163 0 NA NA 566 268 0 NA NA 1150 1156 473 NA NA 930 1403 713 NA
1533805200.0 1325.4 NA 138 350 0 NA NA 520 482 0 NA NA 1064 3647 1059 NA NA 1114 4163 1116 NA
1533805200.0 1325.5 NA 171 0 NA NA NA 281 0 NA NA NA 6802 277 NA NA NA 8242 577 NA NA
1533805200.0 1325.51 NA 160 0 NA NA NA 242 0 NA NA NA 2467 288 NA NA NA 2157 501 NA NA
1533805200.0 1325.6 NA 177 NA NA NA NA 278 NA NA NA NA 4584 NA NA NA NA 4534 NA NA NA
1533805200.0 1325.7 NA 175 0 NA NA NA 272 0 NA NA NA 4787 275 NA NA NA 5048 519 NA NA
1533805200.0 1325.8 NA 167 0 NA NA NA 268 0 NA NA NA 4795 219 NA NA NA 4625 385 NA NA
