Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1533675600.0 1020.0 NA 38 NA NA NA NA 102 NA NA NA NA 222 NA NA NA NA 443 NA NA NA
1533675600.0 1030.0 NA 137 42 0 NA NA 242 80 0 NA NA 9006 212 67 NA NA 9975 380 409 NA
1533675600.0 1307.0 NA 82 119 43 0 NA 151 193 80 0 NA 503 517 135 239 NA 1136 985 365 421
1533675600.0 1308.0 NA 80 117 46 0 NA 151 191 79 0 NA 398 449 142 234 NA 974 912 352 546
1533675600.0 1325.5 NA 140 0 NA NA NA 206 0 NA NA NA 2563 141 NA NA NA 3125 440 NA NA
1533675600.0 1325.7 NA 103 0 NA NA NA 170 0 NA NA NA 2264 134 NA NA NA 4746 374 NA NA
1533675600.0 135.8 83 NA NA NA NA 143 NA NA NA NA 320 NA NA NA NA 663 NA NA NA NA
1533675600.0 136.7801 NA 94 0 NA NA NA 144 0 NA NA NA 352 186 NA NA NA 567 341 NA NA
1533675600.0 503.0 38 0 NA NA NA 71 0 NA NA NA 184 116 NA NA NA 369 400 NA NA NA
1533675600.0 504.0 39 0 NA NA NA 72 0 NA NA NA 172 115 NA NA NA 489 283 NA NA NA
1533675600.0 506.0 33 0 NA NA NA 71 0 NA NA NA 176 122 NA NA NA 452 455 NA NA NA
1533675600.0 509.0 35 0 NA NA NA 70 0 NA NA NA 164 121 NA NA NA 368 282 NA NA NA
1533675600.0 510.0 38 0 NA NA NA 71 0 NA NA NA 232 121 NA NA NA 457 395 NA NA NA
1533675600.0 517.0 16 37 0 NA NA 135 73 0 NA NA 1890 170 127 NA NA 2169 380 547 NA NA
1533675600.0 520.0 16 39 0 NA NA 135 73 0 NA NA 1735 171 121 NA NA 2017 352 264 NA NA
1533675600.0 524.0 16 39 0 NA NA 135 73 0 NA NA 1705 184 116 NA NA 1935 532 314 NA NA
1533675600.0 527.0 16 40 0 NA NA 135 74 0 NA NA 1942 171 113 NA NA 2177 396 281 NA NA
1533675600.0 530.0 16 39 0 NA NA 135 74 0 NA NA 1962 176 116 NA NA 2215 427 272 NA NA
1533675600.0 531.0 64 0 NA NA NA 180 0 NA NA NA 192 118 NA NA NA 404 267 NA NA NA
1533675600.0 541.0 45 0 NA NA NA 82 0 NA NA NA 185 124 NA NA NA 363 376 NA NA NA
1533675600.0 545.0 44 0 NA NA NA 82 0 NA NA NA 192 127 NA NA NA 355 408 NA NA NA
1533675600.0 551.0 16 38 0 NA NA 135 74 0 NA NA 1294 182 125 NA NA 1722 362 377 NA NA
1533675600.0 552.0 16 39 0 NA NA 135 74 0 NA NA 1929 184 122 NA NA 2155 366 555 NA NA
1533675600.0 554.0 16 39 0 NA NA 135 73 0 NA NA 2981 175 121 NA NA 3123 348 421 NA NA
1533675600.0 555.0 16 37 0 NA NA 135 74 0 NA NA 1309 165 123 NA NA 2200 401 571 NA NA
1533675600.0 556.0 21 32 0 NA NA 135 73 0 NA NA 465 181 118 NA NA 800 340 355 NA NA
1533675600.0 560.0 38 0 NA NA NA 71 0 NA NA NA 164 125 NA NA NA 321 439 NA NA NA
1533675600.0 561.0 36 0 NA NA NA 71 0 NA NA NA 182 121 NA NA NA 318 297 NA NA NA
1533675600.0 562.0 16 36 0 NA NA 135 74 0 NA NA 362 183 119 NA NA 759 366 424 NA NA
