Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1533420000.0 1002.0 NA 276 67 NA NA NA 375 123 NA NA NA 2943 395 NA NA NA 3249 605 NA NA
1533420000.0 1020.0 NA 37 25 0 42 NA 109 62 0 113 NA 229 124 67 238 NA 583 515 119 363
1533420000.0 1040.1 NA 73 29 0 NA NA 130 67 0 NA NA 445 123 76 NA NA 810 286 490 NA
1533420000.0 135.8 148 NA NA NA NA 236 NA NA NA NA 432 NA NA NA NA 657 NA NA NA NA
1533420000.0 136.7801 NA 96 0 NA NA NA 149 0 NA NA NA 417 203 NA NA NA 637 470 NA NA
1533420000.0 136.7803 NA 91 NA NA NA NA 154 NA NA NA NA 1001 NA NA NA NA 2013 NA NA NA
1533420000.0 136.791 NA 98 325 0 NA NA 166 441 0 NA NA 1099 3983 1964 NA NA 1663 4368 3216 NA
1533420000.0 136.802 NA 99 391 0 NA NA 163 564 0 NA NA 899 19750 2049 NA NA 796 9621 3585 NA
1533420000.0 136.815 NA 100 327 0 NA NA 164 421 0 NA NA 961 4642 1684 NA NA 1452 6802 1901 NA
1533420000.0 136.816 NA 101 414 0 NA NA 166 651 0 NA NA 867 34350 2099 NA NA 1002 20899 2754 NA
1533420000.0 136.818 NA 98 409 0 NA NA 164 617 0 NA NA 1032 31111 1673 NA NA 1356 15011 1793 NA
1533420000.0 136.82 NA 101 427 0 NA NA 167 703 0 NA NA 819 36778 2103 NA NA 1706 20558 3043 NA
1533420000.0 136.824 NA 100 447 0 NA NA 162 713 0 NA NA 813 39866 2317 NA NA 1253 21305 4592 NA
1533420000.0 136.826 NA 100 406 0 NA NA 163 627 0 NA NA 1061 31772 1727 NA NA 1691 19136 1965 NA
1533420000.0 136.828 NA 99 421 0 NA NA 164 624 0 NA NA 861 33780 1712 NA NA 1252 19954 2222 NA
1533420000.0 136.83 NA 98 416 0 NA NA 167 628 0 NA NA 999 33272 1744 NA NA 1708 15825 1880 NA
1533420000.0 136.831 NA 100 435 0 NA NA 166 705 0 NA NA 841 37042 2231 NA NA 1706 20714 4448 NA
1533420000.0 136.8311 NA 160 0 NA NA NA 244 0 NA NA NA 3265 216 NA NA NA 2137 601 NA NA
1533420000.0 136.832 NA 100 468 0 NA NA 160 728 0 NA NA 867 41468 2331 NA NA 1709 22198 4050 NA
1533420000.0 136.833 NA 99 420 0 NA NA 163 660 0 NA NA 930 35391 1686 NA NA 1355 16495 1905 NA
1533420000.0 136.842 NA 102 428 0 NA NA 161 660 0 NA NA 872 37108 1692 NA NA 1710 16805 1860 NA
1533420000.0 136.843 NA 98 433 0 NA NA 162 678 0 NA NA 827 42406 2143 NA NA 1705 22392 3551 NA
1533420000.0 136.848 NA 100 426 0 NA NA 167 642 0 NA NA 1074 36166 1704 NA NA 1693 16924 1819 NA
1533420000.0 140.0 78 94 191 0 NA 136 382 290 0 NA 13213 1393 1181 352 NA 11742 2025 1394 758 NA
1533420000.0 144.6 NA 272 NA NA NA NA 358 NA NA NA NA 4013 NA NA NA NA 5819 NA NA NA
1533420000.0 145.0 73 93 192 0 NA 126 365 286 0 NA 8507 1015 1312 361 NA 7594 3207 2658 490 NA
1533420000.0 150.1 NA 116 223 0 NA NA 389 341 0 NA NA 874 1530 641 NA NA 839 3356 914 NA
1533420000.0 280.0 91 88 253 0 NA 254 371 363 0 NA 6763 1179 2750 760 NA 4880 1581 5630 983 NA
1533420000.0 4.22 NA 148 70 70 0 NA 234 111 125 0 NA 996 257 299 245 NA 2252 237 425 396
1533420000.0 503.0 33 0 NA NA NA 77 0 NA NA NA 422 191 NA NA NA 917 407 NA NA NA
1533420000.0 504.0 36 0 NA NA NA 78 0 NA NA NA 327 189 NA NA NA 810 382 NA NA NA
1533420000.0 505.0 33 0 NA NA NA 77 0 NA NA NA 317 188 NA NA NA 956 367 NA NA NA
1533420000.0 506.0 34 0 NA NA NA 78 0 NA NA NA 326 184 NA NA NA 960 290 NA NA NA
1533420000.0 507.0 33 0 NA NA NA 76 0 NA NA NA 418 190 NA NA NA 889 385 NA NA NA
1533420000.0 508.0 35 0 NA NA NA 76 0 NA NA NA 278 171 NA NA NA 555 284 NA NA NA
1533420000.0 509.0 38 0 NA NA NA 75 0 NA NA NA 262 190 NA NA NA 876 400 NA NA NA
1533420000.0 510.0 35 0 NA NA NA 77 0 NA NA NA 572 192 NA NA NA 1078 400 NA NA NA
1533420000.0 511.0 40 0 NA NA NA 82 0 NA NA NA 21882 196 NA NA NA 35781 602 NA NA NA
1533420000.0 514.0 16 39 0 NA NA 138 80 0 NA NA 1230 329 169 NA NA 2790 737 284 NA NA
1533420000.0 517.0 16 36 0 NA NA 138 80 0 NA NA 3021 346 188 NA NA 4140 850 383 NA NA
1533420000.0 520.0 16 36 0 NA NA 138 80 0 NA NA 7478 352 188 NA NA 11684 906 334 NA NA
1533420000.0 523.0 16 44 0 NA NA 138 91 0 NA NA 1725 372 183 NA NA 2274 763 315 NA NA
1533420000.0 524.0 16 34 0 NA NA 138 80 0 NA NA 2839 386 192 NA NA 4443 756 401 NA NA
1533420000.0 527.0 16 34 0 NA NA 138 80 0 NA NA 3940 350 190 NA NA 5768 908 386 NA NA
1533420000.0 530.0 16 37 0 NA NA 138 80 0 NA NA 7432 362 191 NA NA 11724 795 403 NA NA
1533420000.0 531.0 60 0 NA NA NA 185 0 NA NA NA 285 190 NA NA NA 770 383 NA NA NA
1533420000.0 534.0 37 0 NA NA NA 91 0 NA NA NA 325 182 NA NA NA 939 250 NA NA NA
1533420000.0 541.0 45 0 NA NA NA 88 0 NA NA NA 339 184 NA NA NA 906 261 NA NA NA
1533420000.0 545.0 44 0 NA NA NA 86 0 NA NA NA 366 174 NA NA NA 926 284 NA NA NA
1533420000.0 551.0 16 41 0 NA NA 138 80 0 NA NA 1130 219 126 NA NA 888 837 322 NA NA
1533420000.0 552.0 16 37 0 NA NA 138 80 0 NA NA 1668 188 133 NA NA 2507 393 653 NA NA
1533420000.0 554.0 16 42 0 NA NA 138 80 0 NA NA 2652 198 128 NA NA 3755 555 447 NA NA
1533420000.0 555.0 16 35 0 NA NA 138 79 0 NA NA 1259 183 128 NA NA 2360 686 467 NA NA
1533420000.0 556.0 16 36 0 NA NA 138 80 0 NA NA 433 192 129 NA NA 1523 338 379 NA NA
1533420000.0 561.0 40 0 NA NA NA 78 0 NA NA NA 218 133 NA NA NA 672 712 NA NA NA
1533420000.0 7.1 54 94 127 57 0 104 361 217 97 0 1392 539 404 203 203 1132 630 481 323 300
